test2020-01-09 14:29:01,650 - __main__ - INFO - Retrieving the-new-york-times from newsapi.org
2020-01-09 14:29:01,650 - headline_collector - INFO - Splitting into 6 intervals
2020-01-09 14:29:01,650 - headline_collector - INFO - requesting from 2020-01-08T00:00:00 to 2020-01-08T03:59:59
2020-01-09 14:29:01,650 - headline_collector - INFO - page: 1
2020-01-09 14:29:02,319 - headline_collector - INFO - collected data
2020-01-09 14:29:02,319 - headline_collector - INFO - requesting from 2020-01-08T04:00:00 to 2020-01-08T07:59:59
2020-01-09 14:29:02,319 - headline_collector - INFO - page: 1
2020-01-09 14:29:02,884 - headline_collector - INFO - collected data
2020-01-09 14:29:02,884 - headline_collector - INFO - requesting from 2020-01-08T08:00:00 to 2020-01-08T11:59:59
2020-01-09 14:29:02,884 - headline_collector - INFO - page: 1
2020-01-09 14:29:03,566 - headline_collector - INFO - collected data
2020-01-09 14:29:03,566 - headline_collector - INFO - page: 2
2020-01-09 14:29:04,258 - headline_collector - INFO - collected data
2020-01-09 14:29:04,258 - headline_collector - INFO - requesting from 2020-01-08T12:00:00 to 2020-01-08T15:59:59
2020-01-09 14:29:04,258 - headline_collector - INFO - page: 1
2020-01-09 14:29:04,982 - headline_collector - INFO - collected data
2020-01-09 14:29:04,983 - headline_collector - INFO - requesting from 2020-01-08T16:00:00 to 2020-01-08T19:59:59
2020-01-09 14:29:04,983 - headline_collector - INFO - page: 1
2020-01-09 14:29:05,646 - headline_collector - INFO - collected data
2020-01-09 14:29:05,646 - headline_collector - INFO - page: 2
2020-01-09 14:29:06,221 - headline_collector - INFO - collected data
2020-01-09 14:29:06,221 - headline_collector - INFO - requesting from 2020-01-08T20:00:00 to 2020-01-08T23:59:59
2020-01-09 14:29:06,221 - headline_collector - INFO - page: 1
2020-01-09 14:29:06,943 - headline_collector - INFO - collected data
2020-01-09 14:29:06,944 - headline_collector - INFO - page: 2
2020-01-09 14:29:07,507 - headline_collector - INFO - collected data
2020-01-09 15:20:31,370 - headline_collector - INFO - Splitting into 6 intervals
2020-01-09 15:20:31,370 - headline_collector - INFO - requesting from 2019-12-27T00:00:00 to 2019-12-27T03:59:59
2020-01-09 15:20:31,370 - headline_collector - INFO - page: 1
2020-01-09 15:20:32,097 - headline_collector - INFO - collected data
2020-01-09 15:20:32,097 - headline_collector - INFO - page: 2
2020-01-09 15:20:32,638 - headline_collector - INFO - collected data
2020-01-09 15:20:32,639 - headline_collector - INFO - requesting from 2019-12-27T04:00:00 to 2019-12-27T07:59:59
2020-01-09 15:20:32,639 - headline_collector - INFO - page: 1
2020-01-09 15:20:33,188 - headline_collector - INFO - collected data
2020-01-09 15:20:33,188 - headline_collector - INFO - requesting from 2019-12-27T08:00:00 to 2019-12-27T11:59:59
2020-01-09 15:20:33,188 - headline_collector - INFO - page: 1
2020-01-09 15:20:33,879 - headline_collector - INFO - collected data
2020-01-09 15:20:33,880 - headline_collector - INFO - requesting from 2019-12-27T12:00:00 to 2019-12-27T15:59:59
2020-01-09 15:20:33,880 - headline_collector - INFO - page: 1
2020-01-09 15:20:34,549 - headline_collector - INFO - collected data
2020-01-09 15:20:34,550 - headline_collector - INFO - page: 2
2020-01-09 15:20:35,261 - headline_collector - INFO - collected data
2020-01-09 15:20:35,262 - headline_collector - INFO - requesting from 2019-12-27T16:00:00 to 2019-12-27T19:59:59
2020-01-09 15:20:35,262 - headline_collector - INFO - page: 1
2020-01-09 15:20:36,074 - headline_collector - INFO - collected data
2020-01-09 15:20:36,074 - headline_collector - INFO - page: 2
2020-01-09 15:20:36,806 - headline_collector - INFO - collected data
2020-01-09 15:20:36,806 - headline_collector - INFO - requesting from 2019-12-27T20:00:00 to 2019-12-27T23:59:59
2020-01-09 15:20:36,806 - headline_collector - INFO - page: 1
2020-01-09 15:20:37,457 - headline_collector - INFO - collected data
2020-01-09 15:20:37,458 - headline_collector - INFO - page: 2
2020-01-09 15:20:38,026 - headline_collector - INFO - collected data
2020-01-09 15:20:38,026 - headline_collector - INFO - Splitting into 6 intervals
2020-01-09 15:20:38,027 - headline_collector - INFO - requesting from 2019-12-27T00:00:00 to 2019-12-27T03:59:59
2020-01-09 15:20:38,027 - headline_collector - INFO - page: 1
2020-01-09 15:20:38,573 - headline_collector - INFO - collected data
2020-01-09 15:20:38,573 - headline_collector - INFO - requesting from 2019-12-27T04:00:00 to 2019-12-27T07:59:59
2020-01-09 15:20:38,573 - headline_collector - INFO - page: 1
2020-01-09 15:20:39,154 - headline_collector - INFO - collected data
